osm_type,osm_id,name,amenity,healthcare,facility_role,latitude,longitude
way,803402058,Kalpetta Juma Masjid (Valiya Palli),place_of_worship,,place_of_worship,,
way,803419022,,shelter,,shelter,,
way,803428249,Government Vocational Higher secondary School Kalpetta,school,,school,,
way,803587469,"Fire and Rescue Station, Kalpetta",fire_station,,fire_station,,
way,803752861,SKMJ Ground,school,,school,,
way,803752862,S D M Lower Primary School Kalpetta,school,,school,,
way,803752863,School Ground,school,,school,,
way,803752864,,place_of_worship,,place_of_worship,,
way,803754168,"St. Joseph's Convent School, Kalpetta",school,,school,,
way,804081704,,place_of_worship,,place_of_worship,,
way,804086142,DM WIMS,hospital,hospital,hospital,,
way,804086144,DM WIMS,hospital,hospital,hospital,,
way,804121247,Beenachi government school,school,,school,,
way,804180240,hml hospital,hospital,hospital,hospital,,
way,804180242,St Joseph's church,place_of_worship,,place_of_worship,,
way,804253659,,place_of_worship,,place_of_worship,,
way,804290869,Chandragiri Auditorium,conference_centre,,conference_centre,,
way,804390018,Immaculate Heart of Mary Church,place_of_worship,,place_of_worship,,
way,804534753,Kuzhivayal Post Office,post_office,,post_office,,
way,804788668,,place_of_worship,,place_of_worship,,
way,804788671,,place_of_worship,,place_of_worship,,
way,805982296,"Veterinary Hospital, Panamaram",veterinary,,veterinary,,
way,806793876,"Community Hall, Theneri",community_centre,,community_facility,,
way,809972891,Ananthaveera,cinema,,cinema,,
way,827554969,"Government Homeo Dispensary, Mandad",,yes,yes,,
way,827554972,"Ayush Ayurveda Hospital, Parakkal",hospital,hospital,hospital,,
way,827554999,Santhigiri Ayurveda & Siddha Hospital,hospital,hospital,hospital,,
way,839428998,"ST. Thomas Marthoma School, Chundale",school,,school,,
way,839464050,De Paul Church,place_of_worship,,place_of_worship,,
way,839464171,Bank of India,bank,,bank,,
way,839465088,"Kendriya Vidyalaya, Kalpetta",school,,school,,
way,839468865,"HIM Upper Primary School, Kalpetta",school,,school,,
way,839473130,"Azar Lower Primary School, Pulpara",school,,school,,
way,839475628,"Government Upper Primary School, Cottanad",school,,school,,
way,839481204,"Government Upper Primary School, Erumakkoly",school,,school,,
way,839606610,Alternate Jaihind Colony - I,school,,school,,
way,839607214,"S Lakshmi V Nikethan,Thrikkaippetta",school,,school,,
way,839714418,"Government High School, Thrikkaipatta",school,,school,,
way,839721712,AUPS Vazhavatta,school,,school,,
way,839722614,"St Sebastian's Lower Primary School, Vazhavatta",school,,school,,
way,839723354,"Government High School, Nellarchal",school,,school,,
way,839737572,"Government Lower Primary School, Puttad",school,,school,,
way,839742128,"Government Lower Primary School, Kadalmad",school,,school,,
way,839743560,"Alternate School, Kambalakolly",school,,school,,
way,839749156,"Auxilium School, Vaduvanchal",school,,school,,
way,839750809,"Government High School, Vaduvanchal",school,,school,,
way,839751194,Sree Chinmaya Vidhya Mandiram,school,,school,,
way,839753319,"Alternate School, Pambala",school,,school,,
way,839754370,"Government Lower Primary School, Andoor",school,,school,,
way,839755912,Isma Crescent Public School,school,,school,,
way,839757081,Sree Vyasa Vidya Mandiram,school,,school,,
way,839858295,"Govrnment Lower Primary School, Malika",school,,school,,
way,839859786,"Government Lower Primary School, Ambukuthy",school,,school,,
way,839881923,"St. Joseph's Upper Primary School, Meppadi",school,,school,,
way,839882452,"St.Joseph Girls High School, Meppadi",school,,school,,
way,839882734,"Mount Tabor English School, Meppadi",school,,school,,
way,839884005,"WMO English Medium School, Meppadi",school,,school,,
way,839911667,"Government Higher Secondary School, Meppadi",school,,school,,
way,839912278,"Government Lower Primary Scool, Meppadi",school,,school,,
way,840086367,Ideal English School Bathery,school,,school,,
way,840088014,Government Lower Primary School Poomala,school,,school,,
way,840093764,St Rossello's Central School,school,,school,,
way,840095656,St.Rosello's School For S And H Poomala,school,,school,,
way,841583658,Government Lower Primary School Edakkal,school,,school,,
way,841588781,Government Lower Primary school Cheengeri,school,,school,,
way,841591440,Government Upper Primary School Kolagappara,school,,school,,
way,841603234,A N M Upper primary School Gokalenagar,school,,school,,
way,841604264,Mor Basil English School Cheengeri,school,,school,,
way,841606172,St.Mary's A Upper Primary School Cheengeri,school,,school,,
way,841609187,"Ann's English Medium School, Meenangadi",school,,school,,
way,841678477,Government Higher Secondary School Meenangadi,school,,school,,
way,841684932,"Government Lower Primary School, Kallupadi",school,,school,,
way,841799576,"Government Lower Primary School, Mandad",school,,school,,
